pointer_index,translation_status,english_text,korean_draft,compiled_display_text,basis,notes,failures,warnings
172,english_reference_reviewed,YEAH,그래,그래,english_reference,영어 참조 의미 대조 완료,,
173,english_reference_reviewed,ASAJI WHY NOT GO TO,"아사지, 후지로 가는 게 어때?",아사지 후지로 가는 게 어때,english_reference,영문 의미와 제어 구조 검토 완료,,
174,english_reference_reviewed,I D BETTER GO CHECK WITH BEEG BOSS,큰두목에게 확인하고 가야겠어,큰두목에게 확인하고 가야겠어,english_reference,영어 참조 의미 대조 완료,,
175,english_reference_reviewed,PLEASE LET ME GO,"부탁이야, 나를 보내 줘",부탁이야 나를 보내 줘,english_reference,영문 의미와 제어 구조 검토 완료,,dynamic_control_context
176,english_reference_reviewed,SOMEONE LEFT THIS AT THE DOOR,누군가 이것을 문 앞에 두고 갔어,누군가 이것을 문 앞에 두고 갔어,english_reference,영문 의미와 제어 구조 검토 완료,,dynamic_control_context
177,english_reference_reviewed,OKOTO WAH ASAJI KIDNAPPED ME,"오코토, 아사지가 나를 납치했어",오코토 아사지가 나를 납치했어,english_reference,영어 참조 의미 대조 완료,,
178,english_reference_reviewed,GO HOME EVERYONE S WORRIED,집에 가. 모두가 걱정하고 있어,집에 가 모두가 걱정하고 있어,english_reference,영어 참조 의미 대조 완료,,
179,english_reference_reviewed,OKOTO SOB THANK YOU PLEASE BE CAREFUL,"오코토, 흑흑 고마워. 조심해",오코토 흑흑 고마워 조심해,english_reference,영어 참조 의미 대조 완료,,
180,english_reference_reviewed,ASAJI HAS DISAPPEARED,아사지가 사라졌어,아사지가 사라졌어,english_reference,영문 의미와 제어 구조 검토 완료,,dynamic_control_context
181,english_reference_reviewed,TSUU BROTHER WAIT,"츠우, 오빠! 기다려!",츠우 오빠 기다려,english_reference,영어 참조 의미 대조 완료,,
182,english_reference_reviewed,KUNIO HURRY SLUG MR BUNZO S IN TROUBLE,"쿠니오, 서둘러! 분조가 곤경에 빠졌어!",쿠니오 서둘러 분조가 곤경에 빠졌어,english_reference,영어 참조 및 오프닝 화면 대조 완료,,
183,english_reference_reviewed,OKOTO KUNIO,"오코토, 쿠니오!",오코토 쿠니오,english_reference,영어 참조 및 오프닝 화면 대조 완료,,
184,english_reference_reviewed,KUNIO I TRIED TO HURRY BACK,"쿠니오, 서둘러 돌아오려고 했어",쿠니오 서둘러 돌아오려고 했어,english_reference,영어 참조 및 오프닝 화면 대조 완료,,
185,english_semantic_draft,OKOTO THIS MAN IS,"오코토, 이 사람은",오코토 이 사람은,english_reference,일본어 문맥 확인 필요,,"semantic_draft_not_reviewed,context_confirmation_required"
186,english_reference_reviewed,ASAJI HEH I M OKOTO S FIANCE,"아사지, 나는 오코토의 약혼자야",아사지 나는 오코토의 약혼자야,english_reference,영어 참조 의미 대조 완료,,
187,english_reference_reviewed,KUNIO WE LL SEE ABOUT THAT,그건 두고 보자,그건 두고 보자,english_reference,영어 참조 의미 대조 완료,,
188,english_reference_reviewed,ASAJI SHUT UP LOSER THE BOSS IS WAITING,"아사지, 조용히 해. 두목님이 기다리신다",아사지 조용히 해 두목님이 기다리신다,english_reference,영어 참조 의미 대조 완료,,
189,english_reference_reviewed,KUNIO OH MASTER FORGIVE MY DELAY,"오, 스승님! 늦어서 죄송합니다",오 스승님 늦어서 죄송합니다,english_reference,영어 참조 의미 대조 완료,,
190,english_reference_reviewed,BUNZO AH KUNIO YOU FINALLY GOT HERE,"아, 쿠니오! 드디어 왔구나",아 쿠니오 드디어 왔구나,english_reference,영어 참조 의미 대조 완료,,
191,english_reference_reviewed,BUNZO TORA HAS CURSED ME,토라가 나에게 저주를 걸었다,토라가 나에게 저주를 걸었다,english_reference,영어 참조 의미 대조 완료,,
192,english_reference_reviewed,BUNZO GO FIND A HEALER,치료사를 찾아가라,치료사를 찾아가라,english_reference,영어 참조 의미 대조 완료,,
193,english_reference_reviewed,BUNZO WHO HAS KANPOU,한방약을 가진 사람은 누구냐?,한방약을 가진 사람은 누구냐,english_reference,영어 참조 의미 대조 완료,,
194,english_reference_reviewed,KUNIO YOU CAN COUNT ON ME,나만 믿어,나만 믿어,english_reference,영어 참조 의미 대조 완료,,
195,english_reference_reviewed,BUNZO PLEASE HURRY,부디 서둘러라,부디 서둘러라,english_reference,영어 참조 의미 대조 완료,,
196,english_reference_reviewed,GOOD JOB,잘했다,잘했다,english_reference,영어 참조 의미 대조 완료,,
197,english_reference_reviewed,YOU SAVED THE DAY,모두를 구했구나,모두를 구했구나,english_reference,영어 참조 의미 대조 완료,,
198,english_reference_reviewed,BY THE WAY,그런데 말이다,그런데 말이다,english_reference,영어 참조 의미 대조 완료,,dynamic_control_context
199,english_reference_reviewed,OKOTO AND YOU WILL MAKE A FINE FAMILY,오코토와 너라면 훌륭한 가족이 되겠군,오코토와 너라면 훌륭한 가족이 되겠군,english_reference,영어 참조 의미 대조 완료,,
200,english_reference_reviewed,RIGHT OKOTO,"그렇지, 오코토?",그렇지 오코토,english_reference,영어 참조 의미 대조 완료,,
201,english_reference_reviewed,OKOTO OH YES,"오코토, 아 맞다",오코토 아 맞다,english_reference,영어 참조 의미 대조 완료,,
202,english_reference_reviewed,I BEG YOU,제발 부탁합니다,제발 부탁합니다,english_reference,영문 의미와 제어 구조 검토 완료,,dynamic_control_context
203,english_reference_reviewed,GREAT A MOMENT OF ULTIMATE HAPPINESS,좋아! 최고의 행복을 느끼는 순간이군,좋아 최고의 행복을 느끼는 순간이군,english_reference,영어 참조 의미 대조 완료,,
204,english_reference_reviewed,I LL ORDER SAKE TO CELEBRATE,축하주를 주문해야겠어,축하주를 주문해야겠어,english_reference,영어 참조 의미 대조 완료,,
205,english_reference_reviewed,I M A VAGABOND DRIFTING FROM TOWN TO TOWN,나는 떠돌이야. 마을에서 마을로 떠돌지,나는 떠돌이야 마을에서 마을로 떠돌지,english_reference,영문 의미와 제어 구조 검토 완료,,dynamic_control_context
206,english_reference_reviewed,OKOTO DESERVES SOMETHING MUCH BETTER,오코토에게는 훨씬 더 좋은 사람이 어울려,오코토에게는 훨씬 더 좋은 사람이 어울려,english_reference,영문 의미와 제어 구조 검토 완료,,dynamic_control_context
207,english_reference_reviewed,SORRY YOU FEEL THAT WAY BUT,그렇게 느꼈다면 미안해. 하지만,그렇게 느꼈다면 미안해 하지만,english_reference,영어 참조 연속 문장 대조 완료,,
208,english_reference_reviewed,COME SEE US,언제든 우리를 만나러 와,언제든 우리를 만나러 와,english_reference,영어 참조 연속 문장 대조 완료,,
209,english_reference_reviewed,WHENEVER YOU RE IN TOWN,마을에 오면 언제든 들러,마을에 오면 언제든 들러,english_reference,영어 참조 연속 문장 대조 완료,,
210,english_reference_reviewed,YOU GOT IT NOW I MUST GO,알겠어. 이제 가야 해,알겠어 이제 가야 해,english_reference,영문 의미와 제어 구조 검토 완료,,dynamic_control_context
211,english_reference_reviewed,FAREWELL,잘 가,잘 가,english_reference,영어 참조 의미 대조 완료,,
212,english_reference_reviewed,OKOTO,오코토,오코토,english_reference,영어 참조 의미 대조 완료,,dynamic_control_context
213,english_reference_reviewed,OKOTO SOB,"오코토, 흐흑",오코토 흐흑,english_reference,영어 참조 의미 대조 완료,,dynamic_control_context
214,english_reference_reviewed,DUM DE DUM DOESN T THIS STORY GRAB YOU,"둠디둠, 이 이야기가 재미있지 않나?",둠디둠 이 이야기가 재미있지 않나,english_reference,영어 참조 의미 대조 완료,,
215,english_reference_reviewed,YOU FINISHED IT DON T YOU HAVE A LIFE,끝냈구나. 할 일도 없냐?,끝냈구나 할 일도 없냐,english_reference,영어 참조 도발 어조 대조 완료,,
216,english_reference_reviewed,MAYBE WE LL MEET AGAIN AND KICK YOUR ASS,다시 만날지도 모르지. 그때 혼내 주마,다시 만날지도 모르지 그때 혼내 주마,english_reference,영어 참조 의미 대조 완료,,
217,english_reference_reviewed,THE END,끝,끝,english_reference,영어 참조 의미 대조 완료,,
218,english_reference_reviewed,S ADVENTURE BEGINS NOW,모험은 지금 시작된다,모험은 지금 시작된다,english_reference,영어 참조 연속 인트로 대조 완료,,
219,english_reference_reviewed,WELCOME TO,어서 오세요,어서 오세요,english_reference,영어 참조 연속 인트로 대조 완료,,
220,english_reference_reviewed,DOWNTOWN SPECIAL HAIL FIGHTERS,다운타운 스페셜! 싸움꾼들이여 만세!,다운타운 스페셜 싸움꾼들이여 만세,english_reference,영어 참조 의미 대조 완료,,
221,english_reference_reviewed,MEET US IN,에서 우리를 만나라,에서 우리를 만나라,english_reference,뒤따르는 장소 제어 토큰 보존,,
222,english_reference_reviewed,SURUGA LAND OF MYSTERY HOME OF MT FUJI,"수수께끼의 땅 스루가, 후지산의 고향",수수께끼의 땅 스루가 후지산의 고향,english_reference,영어 참조 의미 대조 완료,,
223,english_reference_reviewed,ACROSS THE RAGING SEA,거친 바다를 건너,거친 바다를 건너,english_reference,영어 참조 의미 대조 완료,,
224,english_reference_reviewed,DUTY CALLS AND ROMANCE,의무와 사랑이 기다린다,의무와 사랑이 기다린다,english_reference,영어 참조 의미 대조 완료,,
225,english_reference_reviewed,KUNIO S LOVE AWAITS,쿠니오의 사랑이 기다린다,쿠니오의 사랑이 기다린다,english_reference,영어 참조 의미 대조 완료,,
226,english_reference_reviewed,OR DOES SHE,과연 그럴까?,과연 그럴까,english_reference,영어 참조 연속 인트로 대조 완료,,
227,english_reference_reviewed,USED,사용했습니다,사용했습니다,english_reference,동적 아이템 토큰 UI 문장 검토 완료,,dynamic_control_context
228,english_reference_reviewed,ARE YOU READY FOR THIS NEW AREA YEAH,새 지역으로 갈 준비가 됐나요? 그래,새 지역으로 갈 준비가 됐나요 그래,english_reference,영어 참조 의미 대조 완료,,
229,english_reference_reviewed,GAVE,주었습니다,주었습니다,english_reference,영어 참조 의미 대조 완료,,dynamic_control_context
230,english_reference_reviewed,DROPPED,떨어뜨렸습니다,떨어뜨렸습니다,english_reference,동적 아이템 토큰 UI 문장 검토 완료,,dynamic_control_context
231,english_reference_reviewed,S STATUS IS UP,상태가 올랐습니다,상태가 올랐습니다,english_reference,동적 주체 토큰 UI 문장 검토 완료,,dynamic_control_context
232,english_reference_reviewed,S IS UP,의 상승량,의 상승량,english_reference,F0/F2/F5 토큰 사이 명시적 구간 검토 완료,,dynamic_control_context
233,english_reference_reviewed,S UP BY,의 상승,의 상승,english_reference,F0/F2/F5 토큰 사이 명시적 구간 검토 완료,,dynamic_control_context
234,english_reference_reviewed,S IS MAXXED,의 최대,의 최대,english_reference,F0/F2 토큰 사이 명시적 구간 검토 완료,,dynamic_control_context
235,english_reference_reviewed,LEARNED A TECHNIQUE,기술을 배웠습니다,기술을 배웠습니다,english_reference,동적 주체 토큰 UI 문장 검토 완료,,dynamic_control_context
236,english_reference_reviewed,STATUS LEVELS UP NOW DOUBLE,상태 레벨 상승! 이제 두 배입니다,상태 레벨 상승 이제 두 배입니다,english_reference,영어 참조 의미 대조 완료,,
237,english_reference_reviewed,USE MAP CURSOR TO TRAVEL,지도 커서로 이동하세요,지도 커서로 이동하세요,english_reference,영어 참조 의미 대조 완료,,
238,english_reference_reviewed,REMOVED,해제했습니다,해제했습니다,english_reference,장비 제거 의미로 영어 참조 대조 완료,,dynamic_control_context
239,english_reference_reviewed,SMILES,미소 지었습니다,미소 지었습니다,english_reference,동적 주체 토큰 문장 검토 완료,,dynamic_control_context
240,english_reference_reviewed,FELT LIGHTER,몸이 가벼워졌습니다,몸이 가벼워졌습니다,english_reference,동적 주체 토큰 문장 검토 완료,,dynamic_control_context
241,english_reference_reviewed,A GREAT MOMENT,멋진 순간입니다,멋진 순간입니다,english_reference,영어 참조 의미 대조 완료,,
242,english_reference_reviewed,EQUIPMENT STATS NOW DOUBLE,장비와 능력치가 이제 두 배입니다,장비와 능력치가 이제 두 배입니다,english_reference,영어 참조 의미 대조 완료,,
243,english_reference_reviewed,FELL,넘어졌습니다,넘어졌습니다,english_reference,동적 주체 토큰 문장 검토 완료,,dynamic_control_context
244,excluded_non_dialogue,,,,english_reference,단독 변수 종료 레코드라 번역하지 않음,,
245,english_reference_reviewed,FAMILY,가족,가족,english_reference,영문 의미와 제어 구조 검토 완료,,dynamic_control_context
246,excluded_non_dialogue,MF A J S X B C,,,english_reference,코드/데이터 블록으로 보이며 대사 패치에서 제외,,
247,excluded_non_dialogue,,,,english_reference,포인터 테이블 외부 소유자이며 대사 레코드 아님,,
