selected,rom_offset,prg_bank,screen_context,label,category,source_japanese,korean,romaji,cpu_range,expected_bytes,active_expected_match,selection_reason
yes-candidate,0x1CC2D,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,CAMEL,direct-low-8x8,CAMEL,타,English reference label,,03 01 0D 05 0C,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CC39,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,KAPPA,direct-low-8x8,KAPPA,파,English reference label,,0B 01 10 10 01,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CC45,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,MAGIC,direct-low-8x8,MAGIC,마술,English reference label,,0D 01 07 09 03,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CC51,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SANKI,direct-low-8x8,SANKI,산기,English reference label,,13 01 0E 0B 09,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CC60,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,CRSR,direct-low-8x8,CRSR,기,English reference label,,03 12 13 12,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CC6B,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,MYSTERY,direct-low-8x8,MYSTERY,수수께끼,English reference label,,0D 19 13 14 05 12 19,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CC78,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,GOODTIME,direct-low-8x8,GOODTIME,좋은때,English reference label,,07 0F 0F 04 14 09 0D 05,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CC88,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,EFFECT,direct-low-8x8,EFFECT,효과,English reference label,,05 06 06 05 03 14,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CC95,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,MASTER,direct-low-8x8,MASTER,달인,English reference label,,0D 01 13 14 05 12,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CCA2,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,JUMP,direct-low-8x8,JUMP,프,English reference label,,0A 15 0D 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CCB7,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,ABET,direct-low-8x8,ABET,도,English reference label,,00 01 02 05 14,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CCBF,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,STAY,direct-low-8x8,STAY,대기,English reference label,,13 14 01 19,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CCC4,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,ANONE,direct-low-8x8,ANONE,기,English reference label,,00 01 0E 0F 0E 05,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CCCB,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,EXIT,direct-low-8x8,EXIT,끝,English reference label,,05 18 09 14,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CCD4,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,HALF,direct-low-8x8,HALF,하프,English reference label,,08 01 0C 06,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CCE5,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,ALLY,direct-low-8x8,ALLY,동료,English reference label,,01 0C 0C 19,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CCEA,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,STATUS,direct-low-8x8,STATUS,태,English reference label,,13 14 01 14 15 13,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CCF1,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,ALLY,direct-low-8x8,ALLY,동료,English reference label,,01 0C 0C 19,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CCF6,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,TECH,direct-low-8x8,TECH,기술,English reference label,,14 05 03 08,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CCFB,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SETUP,direct-low-8x8,SETUP,설정,English reference label,,13 05 14 15 10,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CD01,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SETTNG,direct-low-8x8,SETTNG,설정,English reference label,,13 05 14 14 0E 07,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
yes-candidate,0x1CD08,7,English TSe-v10 direct-low renderer; runtime visual proof pending per context,SAVE,direct-low-8x8,SAVE,장,English reference label,,13 01 16 05,true,English IPS direct-low row; source-offset build and bounded smoke pass; individual screen ownership remains UNKNOWN
